nohup: ignoring input
🧠 Rogers running on port 8080
[Rogers] ❤️ Alive @ 11/9/2025, 7:04:23 PM | Uptime: 3.0 min | RAM: 6.8 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:50:48 PM | Uptime: 201.1 min | RAM: 3.6 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:53:42 PM | Uptime: 204.0 min | RAM: 6.2 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:56:42 PM | Uptime: 207.0 min | RAM: 5.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:59:42 PM | Uptime: 210.0 min | RAM: 5.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 10:02:42 PM | Uptime: 213.0 min | RAM: 5.0 MB | Requests: 0
: 0
[Rogers] ❤️ Alive @ 11/9/2025, 10:01:54 PM | Uptime: 216.0 min | RAM: 5.0 MB | Requests: 0
ers] ❤️ Alive @ 11/9/2025, 10:01:34 PM | Uptime: 219.0 min | RAM: 5.4 MB | Requests: 0

[Rogers] ❤️ Alive @ 11/9/2025, 9:50:48 PM | Uptime: 222.0 min | RAM: 3.7 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:53:48 PM | Uptime: 225.0 min | RAM: 6.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:56:48 PM | Uptime: 228.0 min | RAM: 5.4 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 9:59:48 PM | Uptime: 231.0 min | RAM: 5.5 MB | Requests: 0
[Rogers] ❤️ Alive @ 11/9/2025, 10:02:48 PM | Uptime: 234.0 min | RAM: 4.9 MB | Requests: 0
ogers] ❤️ Alive @ 11/9/2025, 10:01:45 PM | Uptime: 237.0 min | RAM: 5.3 MB | Requests: 0
