repo,status,class,value_usd,notes
diodes_quantum_transport,ok,docs,118,
diodes_silver_diodes,ok,docs,118,
diodes_superfluid_helium,ok,docs,118,
electron_tunneling_diodes,ok,docs,118,
electron_tunneling_helium,ok,docs,118,
electron_tunneling_helium_diodes,ok,docs,118,
electron_tunneling_quantum,ok,docs,118,
electron_tunneling_quantum_helium,ok,docs,118,
electron_tunneling_quantum_transport,ok,docs,118,
electron_tunneling_quantum_vectors,ok,docs,118,
electron_tunneling_silver_diodes,ok,docs,118,
electron_tunneling_superfluid_helium,ok,docs,118,
helium_diodes,ok,docs,118,
helium_diodes_helium,ok,docs,118,
helium_diodes_quantum,ok,docs,118,
helium_diodes_quantum_helium,ok,docs,118,
helium_diodes_quantum_vectors,ok,docs,118,
helium_electron_tunneling,ok,docs,118,
helium_helium_diodes,ok,docs,118,
helium_quantum,ok,docs,118,
helium_quantum_helium,ok,docs,118,
helium_quantum_transport,ok,docs,118,
helium_quantum_vectors,ok,docs,118,
helium_silver_diodes,ok,docs,118,
helium_superfluid_helium,ok,docs,118,
quantum_diodes,ok,docs,118,
quantum_electron_tunneling,ok,docs,118,
quantum_helium,ok,docs,118,
quantum_helium_diodes,ok,docs,118,
quantum_helium_electron_tunneling,ok,docs,118,
quantum_helium_helium,ok,docs,118,
quantum_helium_helium_diodes,ok,docs,118,
quantum_helium_quantum,ok,docs,118,
quantum_helium_quantum_transport,ok,docs,118,
quantum_helium_quantum_vectors,ok,docs,118,
quantum_helium_silver_diodes,ok,docs,118,
quantum_helium_superfluid_helium,ok,docs,118,
quantum_quantum_transport,ok,docs,118,
quantum_silver_diodes,ok,docs,118,
quantum_superfluid_helium,ok,docs,118,
quantum_transport_diodes,ok,docs,118,
infinity-sandbox-1765895619,ok,mixed,110,
infinity-sandbox-1765895618,ok,mixed,110,
infinity-sandbox-1765895617,ok,mixed,110,
infinity-sandbox-1765895616,ok,mixed,110,
infinity-sandbox-1765895615,ok,mixed,110,
infinity-sandbox-1765895612,ok,mixed,110,
infinity-sandbox-1765895610,ok,mixed,110,
infinity-sandbox-1765895609,ok,mixed,110,
infinity-sandbox-1765895607,ok,mixed,110,
infinity-sandbox-1765895599,ok,mixed,110,
infinity-sandbox-1765895598,ok,mixed,110,
infinity-sandbox-1765895595,ok,mixed,110,
infinity-sandbox-1765895594,ok,mixed,110,
infinity-sandbox-1765895593,ok,mixed,110,
infinity-sandbox-1765895592,ok,mixed,110,
infinity-sandbox-1765895591,ok,mixed,110,
infinity-sandbox-1765895590,ok,mixed,110,
infinity-sandbox-1765895588,ok,mixed,110,
infinity-sandbox-1765895587,ok,mixed,110,
infinity-sandbox-1765895586,ok,mixed,110,
infinity-sandbox-1765895585,ok,mixed,110,
infinity-sandbox-1765895584,ok,mixed,110,
infinity-sandbox-1765895583,ok,mixed,110,
infinity-sandbox-1765895582,ok,mixed,110,
infinity-sandbox-1765895579,ok,mixed,110,
infinity-sandbox-1765895578,ok,mixed,110,
infinity-sandbox-1765895577,ok,mixed,110,
infinity-sandbox-1765895576,ok,mixed,110,
infinity-sandbox-1765895574,ok,mixed,110,
infinity-sandbox-1765895573,ok,mixed,110,
infinity-sandbox-1765895572,ok,mixed,110,
infinity-sandbox-1765895571,ok,mixed,110,
infinity-sandbox-1765895570,ok,mixed,110,
infinity-sandbox-1765895568,ok,mixed,110,
infinity-sandbox-1765895567,ok,mixed,110,
infinity-sandbox-1765895566,ok,mixed,110,
infinity-sandbox-1765895565,ok,mixed,110,
infinity-sandbox-1765895564,ok,mixed,110,
infinity-sandbox-1765895563,ok,mixed,110,
infinity-sandbox-1765895562,ok,mixed,110,
infinity-sandbox-1765895561,ok,mixed,110,
infinity-sandbox-1765895560,ok,mixed,110,
infinity-sandbox-1765895559,ok,mixed,110,
infinity-sandbox-1765895558,ok,mixed,110,
infinity-sandbox-1765895557,ok,mixed,110,
infinity-sandbox-1765895556,ok,mixed,110,
infinity-sandbox-1765895555,ok,mixed,110,
infinity-sandbox-1765895553,ok,mixed,110,
infinity-sandbox-1765895552,ok,mixed,110,
infinity-sandbox-1765895551,ok,mixed,110,
infinity-sandbox-1765895550,ok,mixed,110,
infinity-sandbox-1765895549,ok,mixed,110,
infinity-sandbox-1765895548,ok,mixed,110,
infinity-sandbox-1765895540,ok,mixed,110,
infinity-sandbox-1765895539,ok,mixed,110,
infinity-sandbox-1765895538,ok,mixed,110,
infinity-sandbox-1765895536,ok,mixed,110,
infinity-sandbox-1765895531,ok,mixed,110,
infinity-sandbox-1765895525,ok,mixed,110,
infinity-sandbox-1765895522,ok,mixed,110,
infinity-sandbox-1765895520,ok,mixed,110,
infinity-carts-core,ok,mixed,110,
infinity-brain-100,ok,mixed,110,
infinity-brain-099,ok,mixed,110,
infinity-brain-098,ok,mixed,110,
infinity-brain-097,ok,mixed,110,
infinity-brain-033,ok,mixed,110,
infinity-brain-032,ok,mixed,110,
infinity-brain-031,ok,mixed,110,
infinity-brain-030,ok,mixed,110,
infinity-brain-029,ok,mixed,110,
infinity-brain-028,ok,mixed,110,
infinity-brain-027,ok,mixed,110,
infinity-brain-026,ok,mixed,110,
infinity-brain-025,ok,mixed,110,
infinity-brain-024,ok,mixed,110,
infinity-brain-023,ok,mixed,110,
infinity-brain-022,ok,mixed,110,
infinity-brain-021,ok,mixed,110,
infinity-brain-020,ok,mixed,110,
infinity-brain-019,ok,mixed,110,
infinity-brain-018,ok,mixed,110,
infinity-brain-017,ok,mixed,110,
infinity-brain-016,ok,mixed,110,
infinity-brain-015,ok,mixed,110,
infinity-brain-014,ok,mixed,110,
infinity-brain-013,ok,mixed,110,
infinity-brain-012,ok,mixed,110,
infinity-brain-011,ok,mixed,110,
infinity-brain-010,ok,mixed,110,
infinity-brain-009,ok,mixed,110,
infinity-brain-008,ok,mixed,110,
infinity-brain-007,ok,mixed,110,
infinity-brain-006,ok,mixed,110,
infinity-brain-005,ok,mixed,110,
infinity-brain-004,ok,mixed,110,
infinity-brain-003,ok,mixed,110,
infinity-brain-002,ok,mixed,110,
infinity-brain-001,ok,mixed,110,
rooster.os,ok,mixed,110,
asteroids,ok,mixed,110,
infinity-onepush,ok,mixed,110,
x,ok,mixed,110,
w,ok,mixed,110,
u,ok,docs,110,
t,ok,docs,110,
s,ok,docs,110,
r,ok,docs,110,
q,ok,docs,110,
p,ok,docs,110,
n,ok,mixed,110,
m,ok,mixed,110,
l,ok,mixed,110,
k,ok,mixed,110,
j,ok,mixed,110,
i,ok,mixed,112,
h,ok,mixed,110,
g,ok,mixed,110,
f,ok,mixed,110,
e,ok,mixed,110,
d,ok,mixed,110,
c,ok,mixed,110,
a,ok,mixed,110,
Pi,ok,mixed,112,
Gutenberg,ok,mixed,110,
infinity_spa,ok,mixed,110,
Biotuner,ok,mixed,110,
T-v5.3,ok,mixed,110,
Osprey-Terminal,ok,mixed,110,
Osprey-5.1,ok,mixed,110,
Osprey-5.0,ok,mixed,110,
osprey-4.0,ok,mixed,110,
Infinity-Vectors,ok,mixed,110,
Vector-API,ok,mixed,110,
Vector,ok,mixed,118,
Utopia,ok,mixed,110,
Joe,ok,mixed,110,
Infinity-,ok,mixed,110,
infinity-portal,ok,mixed,110,
GPT-Vector-Design,ok,mixed,110,
quantum-machine-catalog,ok,mixed,110,
Infinity-Vectors-,ok,mixed,110,
Design-Depo,ok,mixed,110,
c13b0-genesis,ok,mixed,110,
infinity-sandbox-1765895620,ok,mixed,110,
infinity-sandbox-1765895622,ok,mixed,110,
infinity-sandbox-1765895621,ok,mixed,110,
infinity-sandbox-1765895623,ok,mixed,110,
infinity-sandbox-1765895624,ok,mixed,110,
infinity-sandbox-1765895626,ok,mixed,110,
infinity-sandbox-1765895627,ok,mixed,110,
infinity-sandbox-1765895628,ok,mixed,110,
infinity-sandbox-1765895629,ok,mixed,110,
infinity-sandbox-1765895630,ok,mixed,110,
infinity-sandbox-1765895631,ok,mixed,110,
infinity-sandbox-1765895632,ok,mixed,110,
infinity-sandbox-1765895633,ok,mixed,110,
infinity-sandbox-1765895634,ok,mixed,110,
infinity-sandbox-1765895635,ok,mixed,110,
infinity-sandbox-1765895636,ok,mixed,110,
infinity-sandbox-1765895637,ok,mixed,110,
gold-mine-vein-signal-20251221_210400,ok,mixed,118,
infinity-brain-096,ok,mixed,118,
infinity-brain-095,ok,mixed,118,
infinity-brain-094,ok,mixed,118,
infinity-brain-093,ok,mixed,118,
infinity-brain-092,ok,mixed,118,
infinity-treasury,ok,mixed,118,
Quantum,ok,mixed,118,
diodes_quantum_helium,ok,docs,118,
diodes_quantum_vectors,ok,docs,118,
helium_diodes_quantum_transport,ok,docs,118,
helium_diodes_electron_tunneling,ok,docs,118,
helium_diodes_silver_diodes,ok,docs,118,
helium_diodes_diodes,ok,docs,118,
helium_diodes_superfluid_helium,ok,docs,118,
superfluid_helium_silver_diodes,ok,docs,118,
superfluid_helium_quantum_vectors,ok,docs,118,
superfluid_helium_quantum_transport,ok,docs,118,
superfluid_helium_quantum_helium,ok,docs,118,
superfluid_helium_quantum,ok,docs,118,
superfluid_helium_helium_diodes,ok,docs,118,
superfluid_helium_helium,ok,docs,118,
superfluid_helium_electron_tunneling,ok,docs,118,
superfluid_helium_diodes,ok,docs,118,
silver_diodes_superfluid_helium,ok,docs,118,
silver_diodes_quantum_vectors,ok,docs,118,
silver_diodes_quantum_transport,ok,docs,118,
silver_diodes_quantum_helium,ok,docs,118,
silver_diodes_quantum,ok,docs,118,
silver_diodes_helium_diodes,ok,docs,118,
silver_diodes_helium,ok,docs,118,
silver_diodes_electron_tunneling,ok,docs,118,
silver_diodes_diodes,ok,docs,118,
quantum_vectors_superfluid_helium,ok,docs,118,
quantum_vectors_silver_diodes,ok,docs,118,
quantum_vectors_quantum_transport,ok,docs,118,
quantum_vectors_quantum_helium,ok,docs,118,
quantum_vectors_quantum,ok,docs,118,
quantum_vectors_helium_diodes,ok,docs,118,
quantum_vectors_helium,ok,docs,118,
quantum_vectors_electron_tunneling,ok,docs,118,
quantum_vectors_diodes,ok,docs,118,
quantum_transport_superfluid_helium,ok,docs,118,
quantum_transport_silver_diodes,ok,docs,118,
quantum_quantum_helium,ok,docs,118,
quantum_quantum_vectors,ok,docs,118,
c13b0_site_item_001,ok,mixed,145,
c13b0_cart_item_001_20251223_085814,ok,mixed,145,
c13b0_.c13b0_tmp_c13b0_item_001_index_index,ok,docs,145,
c13b0_c13b0_cart_item_001_20251223_085814_index,ok,docs,145,
c13b0_item_001_index,ok,docs,145,
diodes_quantum,ok,docs,118,
quantum_transport_quantum_vectors,ok,docs,127,
quantum_transport_quantum_helium,ok,docs,127,
quantum_transport_quantum,ok,docs,127,
quantum_transport_helium_diodes,ok,docs,127,
quantum_transport_helium,ok,docs,127,
quantum_transport_electron_tunneling,ok,docs,127,
c13b0-cube-003,ok,docs,127,
pewpi-emoji-login,ok,mixed,127,
diodes_electron_tunneling,ok,docs,127,
diodes_helium,ok,docs,127,
diodes_helium_diodes,ok,docs,127,
infinity-brain-111,skip,locked,,pixie_lock
b,ok,mixed,110,
infinity-sandbox-1765895569,ok,code,105,
infinity-sandbox-1765895589,ok,code,105,
o,ok,mixed,109,
infinity-scripts,ok,mixed,109,
