repo,status,class,value_usd,notes
superfluid_helium_quantum,ok,docs,109,
superfluid_helium_quantum_helium,ok,docs,109,
superfluid_helium_quantum_transport,ok,docs,109,
superfluid_helium_quantum_vectors,ok,docs,109,
superfluid_helium_silver_diodes,ok,docs,109,
helium_diodes_superfluid_helium,ok,docs,109,
helium_diodes_diodes,ok,docs,109,
helium_diodes_silver_diodes,ok,docs,109,
helium_diodes_electron_tunneling,ok,docs,109,
helium_diodes_quantum_transport,ok,docs,109,
diodes_quantum_vectors,ok,docs,109,
diodes_quantum_helium,ok,docs,109,
Quantum,ok,mixed,109,
infinity-treasury,ok,mixed,109,
infinity-brain-092,ok,mixed,109,
infinity-brain-093,ok,mixed,109,
infinity-brain-094,ok,mixed,109,
infinity-brain-095,ok,mixed,109,
infinity-brain-096,ok,mixed,109,
gold-mine-vein-signal-20251221_210400,ok,mixed,109,
infinity-sandbox-1765895637,ok,code,105,
infinity-sandbox-1765895636,ok,code,105,
infinity-sandbox-1765895635,ok,code,105,
infinity-sandbox-1765895634,ok,code,105,
infinity-sandbox-1765895633,ok,code,105,
infinity-sandbox-1765895632,ok,code,105,
infinity-sandbox-1765895631,ok,code,105,
infinity-sandbox-1765895630,ok,code,105,
infinity-sandbox-1765895629,ok,code,105,
infinity-sandbox-1765895628,ok,code,105,
infinity-sandbox-1765895627,ok,code,105,
infinity-sandbox-1765895626,ok,code,105,
infinity-sandbox-1765895624,ok,code,105,
infinity-sandbox-1765895623,ok,code,105,
infinity-sandbox-1765895621,ok,code,105,
infinity-sandbox-1765895622,ok,code,105,
infinity-sandbox-1765895620,ok,code,105,
c13b0-genesis,ok,code,105,
Design-Depo,ok,code,105,
Infinity-Vectors-,ok,code,105,
quantum-machine-catalog,ok,code,105,
GPT-Vector-Design,ok,mixed,105,
infinity-portal,ok,mixed,105,
Infinity-,ok,mixed,105,
Joe,ok,mixed,105,
Utopia,ok,mixed,105,
Vector,ok,mixed,109,
Vector-API,ok,mixed,105,
Infinity-Vectors,ok,mixed,105,
osprey-4.0,ok,mixed,105,
Osprey-5.0,ok,mixed,105,
Osprey-5.1,ok,code,105,
Osprey-Terminal,ok,code,105,
T-v5.3,ok,code,105,
Biotuner,ok,mixed,105,
infinity_spa,ok,code,105,
Gutenberg,ok,mixed,105,
Pi,ok,code,106,
a,ok,code,105,
b,warn,code,105,push_fail 
c,ok,code,105,
d,ok,code,105,
e,ok,code,105,
f,ok,code,105,
g,ok,code,105,
h,ok,code,105,
i,ok,code,106,
j,ok,code,105,
k,ok,code,105,
l,ok,code,105,
m,ok,code,105,
n,ok,code,105,
p,ok,empty,105,
q,ok,empty,105,
r,ok,empty,105,
s,ok,empty,105,
t,ok,empty,105,
u,ok,empty,105,
w,ok,code,105,
x,ok,code,105,
infinity-onepush,ok,code,105,
asteroids,ok,code,105,
rooster.os,ok,mixed,105,
infinity-brain-001,ok,mixed,105,
infinity-brain-002,ok,mixed,105,
infinity-brain-003,ok,mixed,105,
infinity-brain-004,ok,mixed,105,
infinity-brain-005,ok,mixed,105,
infinity-brain-006,ok,mixed,105,
infinity-brain-007,ok,mixed,105,
infinity-brain-008,ok,mixed,105,
infinity-brain-009,ok,mixed,105,
infinity-brain-010,ok,mixed,105,
infinity-brain-011,ok,mixed,105,
infinity-brain-012,ok,mixed,105,
infinity-brain-013,ok,mixed,105,
infinity-brain-014,ok,mixed,105,
infinity-brain-015,ok,mixed,105,
infinity-brain-016,ok,mixed,105,
infinity-brain-017,ok,mixed,105,
infinity-brain-018,ok,mixed,105,
infinity-brain-019,ok,mixed,105,
infinity-brain-020,ok,mixed,105,
infinity-brain-021,ok,mixed,105,
infinity-brain-022,ok,mixed,105,
infinity-brain-023,ok,mixed,105,
infinity-brain-024,ok,mixed,105,
infinity-brain-025,ok,mixed,105,
infinity-brain-026,ok,mixed,105,
infinity-brain-027,ok,mixed,105,
infinity-brain-028,ok,mixed,105,
infinity-brain-029,ok,mixed,105,
infinity-brain-030,ok,mixed,105,
infinity-brain-031,ok,mixed,105,
infinity-brain-032,ok,mixed,105,
infinity-brain-033,ok,mixed,105,
infinity-brain-097,ok,mixed,105,
infinity-brain-098,ok,mixed,105,
infinity-brain-099,ok,mixed,105,
infinity-brain-100,ok,mixed,105,
infinity-carts-core,ok,code,105,
infinity-sandbox-1765895520,ok,code,105,
infinity-sandbox-1765895522,ok,code,105,
infinity-sandbox-1765895525,ok,code,105,
infinity-sandbox-1765895531,ok,code,105,
infinity-sandbox-1765895536,ok,code,105,
infinity-sandbox-1765895538,ok,code,105,
infinity-sandbox-1765895539,ok,code,105,
infinity-sandbox-1765895540,ok,code,105,
infinity-sandbox-1765895548,ok,code,105,
infinity-sandbox-1765895549,ok,code,105,
infinity-sandbox-1765895550,ok,code,105,
infinity-sandbox-1765895551,ok,code,105,
infinity-sandbox-1765895552,ok,code,105,
infinity-sandbox-1765895553,ok,code,105,
infinity-sandbox-1765895555,ok,code,105,
infinity-sandbox-1765895556,ok,code,105,
infinity-sandbox-1765895557,ok,code,105,
infinity-sandbox-1765895558,ok,code,105,
infinity-sandbox-1765895559,ok,code,105,
infinity-sandbox-1765895560,ok,code,105,
infinity-sandbox-1765895561,ok,code,105,
infinity-sandbox-1765895562,ok,code,105,
infinity-sandbox-1765895563,ok,code,105,
infinity-sandbox-1765895564,ok,code,105,
infinity-sandbox-1765895565,ok,code,105,
infinity-sandbox-1765895566,ok,code,105,
infinity-sandbox-1765895567,ok,code,105,
infinity-sandbox-1765895568,ok,code,105,
infinity-sandbox-1765895570,ok,code,105,
infinity-sandbox-1765895571,ok,code,105,
infinity-sandbox-1765895572,ok,code,105,
infinity-sandbox-1765895573,ok,code,105,
infinity-sandbox-1765895574,ok,code,105,
infinity-sandbox-1765895576,ok,code,105,
infinity-sandbox-1765895577,ok,code,105,
infinity-sandbox-1765895578,ok,code,105,
infinity-sandbox-1765895579,ok,code,105,
infinity-sandbox-1765895582,ok,code,105,
infinity-sandbox-1765895583,ok,code,105,
infinity-sandbox-1765895584,ok,code,105,
infinity-sandbox-1765895585,ok,code,105,
infinity-sandbox-1765895586,ok,code,105,
infinity-sandbox-1765895587,ok,code,105,
infinity-sandbox-1765895588,ok,code,105,
infinity-sandbox-1765895590,ok,code,105,
infinity-sandbox-1765895591,ok,code,105,
infinity-sandbox-1765895592,ok,code,105,
infinity-sandbox-1765895593,ok,code,105,
infinity-sandbox-1765895594,ok,code,105,
infinity-sandbox-1765895595,ok,code,105,
infinity-sandbox-1765895598,ok,code,105,
infinity-sandbox-1765895599,ok,code,105,
infinity-sandbox-1765895607,ok,code,105,
infinity-sandbox-1765895609,ok,code,105,
infinity-sandbox-1765895610,ok,code,105,
infinity-sandbox-1765895612,ok,code,105,
infinity-sandbox-1765895615,ok,code,105,
infinity-sandbox-1765895616,ok,code,105,
infinity-sandbox-1765895617,ok,code,105,
infinity-sandbox-1765895618,ok,code,105,
infinity-sandbox-1765895619,ok,code,105,
quantum_transport_diodes,ok,docs,109,
quantum_superfluid_helium,ok,docs,109,
quantum_silver_diodes,ok,docs,109,
quantum_quantum_transport,ok,docs,109,
quantum_helium_superfluid_helium,ok,docs,109,
quantum_helium_silver_diodes,ok,docs,109,
quantum_helium_quantum_vectors,ok,docs,109,
quantum_helium_quantum_transport,ok,docs,109,
quantum_helium_quantum,ok,docs,109,
quantum_helium_helium_diodes,ok,docs,109,
quantum_helium_helium,ok,docs,109,
quantum_helium_electron_tunneling,ok,docs,109,
quantum_helium_diodes,ok,docs,109,
quantum_helium,ok,docs,109,
quantum_electron_tunneling,ok,docs,109,
quantum_diodes,ok,docs,109,
helium_superfluid_helium,ok,docs,109,
helium_silver_diodes,ok,docs,109,
helium_quantum_vectors,ok,docs,109,
helium_quantum_transport,ok,docs,109,
helium_quantum_helium,ok,docs,109,
helium_quantum,ok,docs,109,
helium_helium_diodes,ok,docs,109,
helium_electron_tunneling,ok,docs,109,
helium_diodes_quantum_vectors,ok,docs,109,
helium_diodes_quantum_helium,ok,docs,109,
helium_diodes_quantum,ok,docs,109,
helium_diodes_helium,ok,docs,109,
helium_diodes,ok,docs,109,
electron_tunneling_superfluid_helium,ok,docs,109,
electron_tunneling_silver_diodes,ok,docs,109,
electron_tunneling_quantum_vectors,ok,docs,109,
electron_tunneling_quantum_transport,ok,docs,109,
electron_tunneling_quantum_helium,ok,docs,109,
electron_tunneling_quantum,ok,docs,109,
electron_tunneling_helium_diodes,ok,docs,109,
electron_tunneling_helium,ok,docs,109,
electron_tunneling_diodes,ok,docs,109,
diodes_superfluid_helium,ok,docs,109,
diodes_silver_diodes,ok,docs,109,
diodes_quantum_transport,ok,docs,109,
semiconductor_diodes,ok,docs,109,
superfluid_helium,ok,docs,109,
helium,ok,docs,109,
quantum_vectors,ok,docs,109,
-,ok,docs,109,
-Kestrel-Glyph-Solace-,ok,docs,109,
-Lotus-Glyph-Noble-,ok,docs,109,
-Kestrel-Flux-Solace-,ok,docs,109,
-Ember-Aurora-Mint-,ok,docs,109,
-Comet-Delta-Oracle-,ok,docs,109,
-Ember-Cipher-Noble-,ok,docs,109,
-Halo-Ivory-Prism-,ok,docs,109,
-Ion-Glyph-Quartz-,ok,docs,109,
-Falcon-Aurora-Mint-,ok,docs,109,
-Halo-Horizon-Solace-,ok,docs,109,
-Kestrel-Flux-Prism-,ok,docs,109,
-Falcon-Juniper-Umbra-,ok,docs,109,
-Viper-Glyph-Oracle-,ok,docs,109,
-Atlas-Glyph-Quartz-,ok,docs,109,
-Kestrel-Juniper-Quartz-,ok,docs,109,
-Kestrel-Aurora-Noble-,ok,docs,109,
-Jade-Delta-Oracle-,ok,docs,109,
-Ion-Glyph-Titan-,ok,docs,109,
-Atlas-Glyph-Oracle-,ok,docs,109,
-Ion-Glyph-Mint-,ok,docs,109,
-Ember-Aurora-Solace-,ok,docs,109,
-Comet-Echo-Prism-,ok,docs,109,
-Ember-Horizon-Prism-,ok,docs,109,
-Falcon-Ivory-Ripple-,ok,docs,109,
-Ember-Glyph-Ripple-,ok,docs,109,
-Comet-Cipher-Noble-,ok,docs,109,
-Jade-Delta-Ripple-,ok,docs,109,
-Jade-Aurora-Oracle-,ok,docs,109,
-Viper-Beacon-Ripple-,ok,docs,109,
-Viper-Beacon-Umbra-,ok,docs,109,
-Ember-Echo-Oracle-,ok,docs,109,
-Jade-Beacon-Titan-,ok,docs,109,
-Falcon-Ivory-Noble-,ok,docs,109,
-Halo-Cipher-Prism-,ok,docs,109,
-Viper-Flux-Titan-,ok,docs,109,
-Ember-Aurora-Noble-,ok,docs,109,
-Viper-Horizon-Noble-,ok,docs,109,
-Ember-Juniper-Ripple-,ok,docs,109,
-Halo-Juniper-Solace-,ok,docs,109,
-Halo-Aurora-Prism-,ok,docs,109,
-Comet-Delta-Noble-,ok,docs,109,
-Jade-Beacon-Oracle-,ok,docs,109,
-Viper-Glyph-Prism-,ok,docs,109,
-Mario-InfinityTrumpCoin-,ok,docs,109,
VIPER-OCTAVE-BLOCK,ok,docs,109,
VIPER_BLOCK_OCTAVE_20251220T073747Z,ok,docs,109,
VIPER_BLOCK_OCTAVE_20251220T073452Z,ok,docs,109,
C13b0_20251220_004021,ok,mixed,109,
infinity-brain-082,ok,mixed,109,
infinity-brain-083,ok,mixed,109,
infinity-brain-084,ok,mixed,109,
infinity-brain-085,ok,mixed,109,
infinity-brain-086,ok,mixed,109,
infinity-brain-087,ok,mixed,109,
infinity-brain-088,ok,mixed,109,
infinity-brain-089,ok,mixed,109,
infinity-brain-090,ok,mixed,109,
infinity-brain-091,ok,mixed,109,
infinity_research_printer_core,ok,mixed,109,
bitcoin_octave_resonance,ok,mixed,109,
cross_token_graph,ok,mixed,109,
emoji_chain_validator,ok,mixed,109,
emoji_grammar_core,ok,docs,109,
c13b0_auto_20251219_175421,ok,docs,109,
c13b0_auto_20251219_175712,ok,docs,109,
c13b0_proceed_300repos_20251219_180329,ok,docs,109,
smug_look,ok,mixed,109,
